massimale_apertura.c3d



Time(s):	Emg_1(uV):	Emg_2(uV):	Emg_3(uV):	Emg_4(uV):	Emg_5(uV):
0.067	-34.24072	-12.18567	-0.30212	-0.10071	-10.57434
0.0675	-30.2124	-10.0708	-0.70496	-1.81274	-18.22815
0.068	-21.65222	-2.11487	-8.35876	1.10779	-17.01965
0.0685	-12.78992	-5.33752	-0.50354	-5.43823	-21.24939
0.069	-13.797	-4.93469	-4.33044	-1.51062	-24.57275
0.0695	-6.64673	-5.84106	-1.71204	1.10779	-23.06213
0.07	2.92053	1.2085	-3.52478	-7.04956	-20.64514
0.0705	4.02832	8.56018	-1.81274	-4.12903	-26.68762
0.071	7.15027	-4.93469	-4.73328	-9.66797	-20.54443
0.0715	11.58142	4.33044	-3.8269	-8.05664	-27.19116
0.072	12.28638	9.86938	2.61841	-4.12903	-26.88904
0.0725	23.46497	11.48071	0.90637	-8.35876	-16.21399
0.073	26.68762	8.35876	3.62549	-6.54602	-17.42249
0.0735	34.94568	15.30762	1.81274	-7.5531	-13.09204
0.074	35.44922	8.8623	3.7262	-9.36584	-7.75452
0.0745	28.19824	7.5531	3.22266	-9.97009	-0.10071
0.075	34.14001	8.66089	6.94885	-1.51062	-5.94177
0.0755	27.19116	7.65381	3.8269	-2.61841	0.20142
0.076	30.11169	13.19275	2.31628	-3.7262	-2.41699
0.0765	28.80249	8.56018	-5.63965	-2.01416	-0.90637
0.077	24.57275	2.81982	3.42407	1.3092	4.33044
0.0775	25.177	4.93469	3.22266	-4.02832	6.54602
0.078	17.01965	3.92761	0.40283	-9.97009	9.97009
0.0785	9.36584	-2.5177	0.30212	-5.13611	22.96143
0.079	-0.30212	-5.13611	6.14319	-1.51062	25.88196
0.0795	-4.12903	-6.44531	-0.10071	1.00708	20.74585
0.08	-7.5531	-2.92053	2.11487	-5.94177	28.09753
0.0805	-8.56018	-5.74036	0.70496	-2.41699	22.55859
0.081	-7.95593	-10.67505	0.50354	-1.10779	17.42249
0.0815	-24.16992	-13.89771	-0.90637	6.54602	21.95435
0.082	-21.75293	-17.72461	-4.02832	2.11487	21.45081
0.0825	-34.03931	-22.96143	-0.50354	-0.30212	17.42249
0.083	-37.96692	-13.59558	-0.60425	-0.80566	25.57983
0.0835	-38.26904	-17.42249	-10.17151	-2.31628	15.60974
0.084	-35.75134	-12.18567	-5.94177	2.71912	15.20691
0.0845	-34.94568	-18.8324	-5.63965	2.01416	13.39417
0.085	-39.57825	-17.01965	-2.11487	-4.33044	-4.22974
0.0855	-33.9386	-18.02673	0.80566	-4.33044	0.50354
0.086	-32.42798	-15.40833	-4.93469	-2.92053	-1.2085
0.0865	-36.35559	-22.45789	-3.52478	1.81274	-7.35168
0.087	-34.84497	-9.97009	4.63257	-6.2439	-10.87646
0.0875	-30.2124	-13.59558	-1.61133	0.30212	-14.09912
0.088	-23.06213	-10.97717	2.92053	-1.81274	-20.64514
0.0885	-19.33594	-6.04248	3.02124	-0.70496	-18.53027
0.089	-14.09912	0.90637	-1.91345	-4.53186	-21.65222
0.0895	-7.95593	-1.81274	1.61133	-1.40991	-23.46497
0.09	3.32336	3.7262	0.10071	-2.11487	-19.63806
0.0905	10.97717	-2.41699	0.70496	-5.94177	-20.44373
0.091	10.97717	0.60425	5.33752	-4.53186	-19.94019
0.0915	20.44373	3.92761	-3.22266	-4.33044	-21.55151
0.092	21.65222	9.66797	-4.12903	-4.83398	-27.09045
0.0925	28.09753	10.97717	1.00708	-4.53186	-27.19116
0.093	35.65063	7.35168	-9.26514	-6.14319	-15.60974
0.0935	37.46338	9.36584	3.42407	-2.92053	-16.21399
0.094	35.95276	14.70337	3.92761	-4.33044	-12.5885
0.0945	27.89612	13.99841	1.81274	-3.02124	-7.75452
0.095	31.92444	9.46655	1.00708	1.2085	-10.17151
0.0955	31.21948	13.39417	-3.7262	-6.2439	-4.12903
0.096	23.56567	4.63257	0.90637	-3.7262	-1.10779
0.0965	27.39258	7.95593	2.41699	-2.61841	5.13611
0.097	24.67346	8.25806	-0.90637	-4.02832	6.94885
0.0975	21.45081	4.53186	-3.92761	-7.15027	10.47363
0.098	19.83948	8.35876	-6.94885	-8.56018	12.18567
