massimale_chiusura.c3d



Time(s):	Emg_1(uV):	Emg_2(uV):	Emg_3(uV):	Emg_4(uV):	Emg_5(uV):
0.07	31.32019	5.53894	-1.81274	-27.59399	45.52002
0.0705	31.32019	5.53894	4.12903	-27.09045	47.7356
0.071	31.32019	5.53894	3.22266	-29.60815	53.87878
0.0715	31.32019	5.53894	-1.81274	-22.15576	55.49011
0.072	31.32019	5.53894	0.80566	-17.12036	48.84338
0.0725	31.32019	5.53894	2.5177	-13.09204	44.71436
0.073	31.32019	5.53894	-1.91345	-9.46655	38.16833
0.0735	31.32019	5.53894	3.02124	-4.43115	33.13293
0.074	31.32019	5.53894	5.84106	-1.00708	31.92444
0.0745	31.32019	5.53894	3.32336	2.21558	26.88904
0.075	31.32019	5.53894	-5.53894	5.13611	13.797
0.0755	31.32019	5.53894	-3.92761	10.47363	10.57434
0.076	31.32019	5.53894	-10.27222	9.97009	8.35876
0.0765	31.32019	5.53894	-6.64673	15.81116	-6.3446
0.077	31.32019	5.53894	-7.25098	23.06213	-13.89771
0.0775	-50.85754	-18.73169	-4.12903	19.53735	-24.77417
0.078	-51.15967	-15.20691	0.40283	27.09045	-30.41382
0.0785	-50.15259	-22.76001	0.50354	20.74585	-35.44922
0.079	-43.60657	-10.77576	-5.33752	23.66638	-40.08179
0.0795	-48.13843	-23.66638	-5.53894	22.6593	-40.38391
0.08	-46.22498	-18.32886	-1.61133	28.19824	-44.61365
0.0805	-43.50586	-3.92761	-3.62549	24.77417	-48.23914
0.081	-32.52869	-2.71912	2.01416	24.77417	-57.20215
0.0815	-24.37134	-6.54602	-2.41699	21.75293	-51.66321
0.082	-12.99133	-3.92761	-2.5177	13.69629	-46.92993
0.0825	-2.31628	-2.5177	-8.56018	11.98425	-49.24622
0.083	1.10779	1.61133	-6.54602	13.29346	-46.12427
0.0835	9.06372	2.01416	-2.71912	7.75452	-39.57825
0.084	16.11328	7.04956	-2.61841	-0.40283	-35.14709
0.0845	21.65222	8.15735	-2.41699	2.41699	-32.02515
0.085	22.25647	14.50195	-2.5177	-9.26514	-26.88904
0.0855	31.62231	11.2793	5.43823	-10.47363	-15.1062
0.086	41.18958	22.86072	6.14319	-12.68921	-4.12903
0.0865	44.31152	16.21399	-0.10071	-12.89062	-0.20142
0.087	48.64197	20.24231	0.60425	-17.72461	6.94885
0.0875	47.43347	6.44531	0.80566	-19.63806	13.59558
0.088	49.0448	5.43823	0.90637	-24.87488	22.55859
0.0885	50.75684	5.53894	-3.02124	-26.68762	27.39258
0.089	45.82214	6.14319	-3.22266	-29.60815	33.53577
0.0895	44.0094	5.84106	3.52478	-21.85364	34.34143
0.09	36.55701	5.63965	-6.3446	-20.74585	41.18958
0.0905	24.27063	5.63965	-0.30212	-24.27063	44.21082
0.091	18.32886	1.00708	0.30212	-20.44373	46.32568
0.0915	21.45081	-7.75452	-0.70496	-21.65222	54.78516
0.092	3.12195	2.01416	-0.90637	-16.01257	48.74268
0.0925	-9.36584	-3.42407	-3.8269	-17.82532	44.71436
0.093	-11.98425	-7.5531	2.31628	-9.66797	40.88745
0.0935	-19.23523	-12.99133	-3.7262	-11.68213	39.17542
0.094	-26.48621	-7.35168	-2.11487	-2.11487	31.92444
0.0945	-36.55701	-10.47363	1.00708	0.20142	35.44922
0.095	-37.7655	-18.42957	-4.93469	0.60425	18.42957
0.0955	-50.15259	-19.63806	-5.23682	10.37292	17.42249
0.096	-52.46887	-18.8324	-3.52478	10.37292	10.57434
0.0965	-55.99365	-19.63806	-0.60425	10.57434	-0.10071
0.097	-60.02197	-17.52319	-4.12903	20.44373	-9.46655
0.0975	-53.57666	-21.85364	-1.40991	23.46497	-18.02673
0.098	-52.56958	-19.53735	2.01416	23.66638	-20.44373
0.0985	-52.26746	-16.61682	-3.32336	20.04089	-30.41382
